date,nav
2017-08-31,11.29
2017-09-01,11.3
2017-09-04,11.15
2017-09-05,11.06
2017-09-06,11.05
2017-09-07,11.09
2017-09-08,11.03
2017-09-11,11.16
2017-09-12,11.3
2017-09-13,11.42
2017-09-14,11.4
2017-09-15,11.49
2017-09-19,11.72
2017-09-20,11.72
2017-09-21,11.79
2017-09-22,11.81
2017-09-25,11.83
2017-09-26,11.81
2017-09-27,11.87
2017-09-28,11.99
2017-09-29,11.99
2017-10-02,11.99
2017-10-03,12.05
2017-10-04,12.04
2017-10-05,12.03
2017-10-06,12.1
2017-10-10,12.13
2017-10-11,12.1
2017-10-12,12.09
2017-10-13,12.12
2017-10-16,12.21
2017-10-17,12.23
2017-10-18,12.23
2017-10-19,12.29
2017-10-20,12.27
2017-10-23,12.37
2017-10-24,12.48
2017-10-25,12.48
2017-10-26,12.53
2017-10-27,12.66
2017-10-30,12.6
2017-10-31,12.48
2017-11-02,12.64
2017-11-06,12.58
2017-11-07,12.74
2017-11-08,12.73
2017-11-09,12.58
2017-11-10,12.53
2017-11-13,12.46
2017-11-14,12.42
2017-11-15,12.12
2017-11-16,12.18
2017-11-17,12.18
2017-11-20,12.14
2017-11-21,12.2
2017-11-22,12.25
2017-11-24,12.23
2017-11-27,12.2
2017-11-28,12.17
2017-11-29,12.33
2017-11-30,12.48
2017-12-01,12.54
2017-12-04,12.51
2017-12-05,12.61
2017-12-06,12.41
2017-12-07,12.48
2017-12-08,12.6
2017-12-11,12.72
2017-12-12,12.82
2017-12-13,12.79
2017-12-14,12.76
2017-12-15,12.62
2017-12-18,12.77
2017-12-19,12.82
2017-12-20,12.93
2017-12-21,12.89
2017-12-22,12.99
2017-12-27,12.97
2017-12-28,12.9
2017-12-29,12.93
2018-01-04,13.26
2018-01-05,13.41
2018-01-09,13.49
2018-01-10,13.48
2018-01-11,13.62
2018-01-12,13.51
2018-01-15,13.56
2018-01-16,13.54
2018-01-17,13.5
2018-01-18,13.34
2018-01-19,13.47
2018-01-22,13.48
2018-01-23,13.62
2018-01-24,13.58
2018-01-25,13.48
2018-01-26,13.37
2018-01-29,13.39
2018-01-30,13.31
2018-01-31,13.11
2018-02-01,13.39
2018-02-02,13.4
2018-02-05,13.22
2018-02-06,12.91
2018-02-07,12.84
2018-02-08,12.77
2018-02-09,12.56
2018-02-13,12.45
2018-02-14,12.32
2018-02-15,12.41
2018-02-19,12.85
2018-02-21,12.79
2018-02-22,12.66
2018-02-23,12.81
2018-02-26,12.88
2018-02-27,13.01
2018-02-28,12.83
2018-03-01,12.65
2018-03-02,12.18
2018-03-05,12.21
2018-03-06,12.32
2018-03-07,12.2
2018-03-08,12.24
2018-03-09,12.36
2018-03-12,12.48
2018-03-13,12.52
2018-03-14,12.48
2018-03-15,12.47
2018-03-16,12.41
2018-03-19,12.28
2018-03-20,12.36
2018-03-22,12.2
2018-03-23,11.95
2018-03-26,11.92
2018-03-27,12.22
