category,fund_code,name,as_of_date,nav,currency,region,target,return_1y,momentum_6m,sharpe,source_sheet
usa,,路博邁投資基金-NB美國房地產基金T累積類股(美元)(基金之配息來源可能為本金),2026-08-11,17.9,美元,美國,REIT,11.81,5.17,0.29,淨值+報酬率
usa,,路博邁投資基金-NB美國房地產基金T月配息類股(美元)(基金之配息來源可能為本金),2026-08-11,10.15,美元,美國,REIT,11.8,5.11,0.29,淨值+報酬率
usa,,路博邁投資基金-NB美國房地產基金T月配息類股(澳幣)(基金之配息來源可能為本金),2026-08-11,8.7,澳幣,美國,REIT,11.66,5.27,0.29,淨值+報酬率
usa,,路博邁投資基金-NB美國房地產基金T累積類股(澳幣)(基金之配息來源可能為本金),2026-08-11,16.57,澳幣,美國,REIT,11.66,5.27,0.29,淨值+報酬率
usa,,摩根投資基金-美國智選基金A股(澳幣對沖)(累計),2026-08-11,26.34,澳幣,美國,股票型,11.61,7.34,0.28,淨值+報酬率
usa,,安聯收益成長基金-AMg7月收總收益類股(澳幣避險)(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),2026-08-11,8.356,澳幣,美國,平衡型,11.6,5.34,0.47,淨值+報酬率
japan,,瀚亞投資-亞洲非投資等級債券基金Azdmc1(南非幣避險穩定月配)(本基金配息來源可能為本金),2026-08-11,4.493,南非幣,亞太不含日本,非投資等級債券,-29.67,-11.94,0.99,淨值+報酬率
usa,,聯博-美國永續主題基金S1級別美元,2026-08-11,68.6,美元,美國,股票型,11.54,8.05,0.26,淨值+報酬率
usa,,安聯收益成長基金-AM穩定月收類股(澳幣避險)(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),2026-08-11,8.0269,澳幣,美國,平衡型,11.52,5.27,0.46,淨值+報酬率
usa,,iShare美國不動產指數IYR.US,2026-08-11,102.57,美元,美國,REIT,11.48,4.48,0.31,淨值+報酬率
usa,,安聯收益成長基金-AMg2穩定月收息類股(澳幣避險)(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),2026-08-11,12.3511,澳幣,美國,平衡型,11.4,5.18,0.46,淨值+報酬率
usa,,聯博-美國永續主題基金I級別美元,2026-08-11,64.46,美元,美國,股票型,11.35,7.92,0.26,淨值+報酬率
usa,,安聯收益成長基金-BMg7月收總收益類股(美元)(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),2026-08-11,8.3745,美元,美國,平衡型,11.29,4.94,0.45,淨值+報酬率
usa,,安聯收益成長基金-BM穩定月收類股(美元)(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),2026-08-11,9.2515,美元,美國,平衡型,11.29,4.94,0.45,淨值+報酬率
usa,,安聯收益成長基金-BT累積類股(美元)(本基金有相當比重投資於非投資等級之高風險債券),2026-08-11,14.5996,美元,美國,平衡型,11.27,4.92,0.45,淨值+報酬率
usa,,摩根士丹利美國關鍵股票基金A(美元),2026-08-11,89.91,美元,美國,股票型,11.26,8.92,0.26,淨值+報酬率
usa,,聯博-美國永續主題基金A級別歐元,2026-08-11,45.45,歐元,美國,股票型,11.04,10.56,0.27,淨值+報酬率
usa,,富達基金-美國股票基金(Y股累計美元),2026-08-11,43.27,美元,美國,股票型,10.92,10.86,0.24,淨值+報酬率
usa,,威廉博萊美國大型成長基金-J累積(美元),2026-08-10,172.47,美元,美國,股票型,10.91,14.77,0.19,淨值+報酬率
usa,,駿利亨德森資產管理基金-駿利亨德森平衡基金I2美元,2026-08-11,68.76,美元,美國,平衡型,10.87,6.06,0.44,淨值+報酬率
usa,,安聯收益成長基金-BMg9月收總收益類股(美元)(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),2026-08-11,10.0352,美元,美國,平衡型,10.86,4.73,0.43,淨值+報酬率
usa,,安聯收益成長基金-BM9穩定月收類股(美元)(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),2026-08-11,10.4153,美元,美國,平衡型,10.85,4.73,0.43,淨值+報酬率
japan,,瑞銀(盧森堡)亞洲非投資等級債券基金(美元)I-A1-累積,2026-08-11,100.46,美元,亞洲不含日本,非投資等級債券,10.83,2.11,0.75,淨值+報酬率
usa,,安聯收益成長基金-BT9累積類股(美元)(本基金有相當比重投資於非投資等級之高風險債券),2026-08-11,12.4144,美元,美國,平衡型,10.83,4.71,0.43,淨值+報酬率
usa,,駿利亨德森資產管理基金-駿利亨德森美國40基金A2美元,2026-08-11,89.42,美元,美國,股票型,-32.42,1.21,0.2,淨值+報酬率
usa,,路博邁投資基金-NB美國房地產基金E月配息類股(美元)(基金之配息來源可能為本金),2026-08-11,8.51,美元,美國,REIT,10.72,4.59,0.26,淨值+報酬率
usa,,路博邁投資基金-NB美國房地產基金I累積類股(歐元)(基金之配息來源可能為本金),2026-08-11,20.49,歐元,美國,REIT,10.7,4.75,0.26,淨值+報酬率
usa,,路博邁投資基金-NB美國房地產基金B累積類股(美元)(基金之配息來源可能為本金),2026-08-11,15.74,美元,美國,REIT,10.69,4.65,0.26,淨值+報酬率
usa,,路博邁投資基金-NB美國房地產基金E累積類股(美元)(基金之配息來源可能為本金),2026-08-11,14.93,美元,美國,REIT,10.67,4.63,0.26,淨值+報酬率
japan,,富達基金-亞洲小型企業基金(Y股累計美元),2026-08-11,40.69,美元,亞太不含日本,中小型股,10.63,-5.33,0.18,淨值+報酬率
usa,,路博邁投資基金-NB美國房地產基金B累積類股(澳幣)(基金之配息來源可能為本金),2026-08-11,12.49,澳幣,美國,REIT,-26.03,-5.83,0.26,淨值+報酬率
usa,,路博邁投資基金-NB美國房地產基金B月配息類股(美元)(基金之配息來源可能為本金),2026-08-11,8.51,美元,美國,REIT,10.59,4.59,0.26,淨值+報酬率
healthcare,,富達基金-永續發展全球健康護理基金(Y股累計歐元),2026-08-11,54.57,歐元,全球,健康護理股,10.58,2.77,0.21,淨值+報酬率
usa,,路博邁投資基金-NB美國房地產基金E累積類股(澳幣)(基金之配息來源可能為本金),2026-08-11,13.51,澳幣,美國,REIT,-26.06,-5.84,0.26,淨值+報酬率
usa,,路博邁投資基金-NB美國房地產基金E月配息類股(澳幣)(基金之配息來源可能為本金),2026-08-11,7.21,澳幣,美國,REIT,-26.09,-5.83,0.26,淨值+報酬率
usa,,路博邁投資基金-NB美國房地產基金B月配息類股(澳幣)(基金之配息來源可能為本金),2026-08-11,7.23,澳幣,美國,REIT,-26.06,-5.82,0.26,淨值+報酬率
usa,,聯博-美國永續主題基金A級別美元,2026-08-11,52.46,美元,美國,股票型,10.44,7.5,0.24,淨值+報酬率
usa,,威廉博萊美國大型成長基金-A累積(美元),2026-08-10,135.26,美元,美國,股票型,10.41,14.52,0.18,淨值+報酬率
japan,,富達基金-亞洲小型企業基金(A股歐元),2026-08-11,36.13,歐元,亞太不含日本,中小型股,10.29,-2.94,0.22,淨值+報酬率
japan,,富達基金-亞洲小型企業基金(A股累計歐元),2026-08-11,41.85,歐元,亞太不含日本,中小型股,10.28,-2.97,0.22,淨值+報酬率
usa,,安聯收益成長基金-AM穩定月收類股(紐幣避險)(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),2026-08-11,7.2033,紐幣,美國,平衡型,10.17,4.41,0.41,淨值+報酬率
usa,,聯博-美國永續主題基金A澳幣避險級別,2026-08-11,83.9,澳幣,美國,股票型,10.08,7.58,0.23,淨值+報酬率
usa,,聯博-美國成長基金AD月配南非幣避險級別(基金之配息來源可能為本金),2026-08-11,376.68,南非幣,美國,股票型,10.05,9.23,0.24,淨值+報酬率
japan,,瑞銀(盧森堡)亞洲非投資等級債券基金(美元)(月配息)(本基金之配息來源可能為本金),2026-08-11,49.86,美元,亞洲不含日本,非投資等級債券,-27.24,-5.14,0.69,淨值+報酬率
usa,,富蘭克林坦伯頓全球投資系列美國機會基金歐元A(acc),2026-08-11,35.36,歐元,美國,股票型,-31.28,-2.8,0.22,淨值+報酬率
japan,,瑞銀(盧森堡)亞洲非投資等級債券基金(美元),2026-08-11,133.31,美元,亞洲不含日本,非投資等級債券,-26.84,-4.65,0.69,淨值+報酬率
usa,,富達基金-美國股票基金(A股美元),2026-08-11,109.3,美元,美國,股票型,9.96,10.36,0.22,淨值+報酬率
healthcare,,富達基金-永續發展全球健康護理基金(Y股累計美元),2026-08-11,14.18,美元,全球,健康護理股,9.92,-0.21,0.22,淨值+報酬率
china,,法巴中國股票基金C(美元)(已撤銷核備),2026-08-11,512.04,美元,大中華,股票型,-28.38,-10.01,0.17,淨值+報酬率
japan,,富達基金-亞洲非投資等級債券基金(I股月配息美元),2026-08-11,5.926,美元,亞洲不含日本,非投資等級債券,9.77,2.92,0.79,淨值+報酬率
usa,,安聯收益成長基金-AM穩定月收類股(歐元避險)(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),2026-08-11,8.1865,歐元,美國,平衡型,9.76,4.33,0.39,淨值+報酬率
usa,,駿利亨德森資產管理基金-駿利亨德森平衡基金A2美元,2026-08-11,53.94,美元,美國,平衡型,9.75,5.54,0.39,淨值+報酬率
usa,,駿利亨德森資產管理基金-駿利亨德森平衡基金A5月配美元(本基金某些股份類別之配息來源可能為本金),2026-08-11,15.15,美元,美國,平衡型,9.74,5.56,0.39,淨值+報酬率
japan,,瀚亞投資-亞洲非投資等級債券基金C(美元),2026-08-11,12.544,美元,亞太不含日本,非投資等級債券,-31.6,-12.83,0.82,淨值+報酬率
japan,,富達基金-亞洲小型企業基金(A股美元),2026-08-11,31.17,美元,亞太不含日本,中小型股,9.72,-5.7,0.17,淨值+報酬率
usa,,駿利亨德森資產管理基金-駿利亨德森美國40基金T2美元,2026-08-11,13.78,美元,美國,股票型,9.71,11.22,0.18,淨值+報酬率
usa,,駿利亨德森資產管理基金-駿利亨德森美國40基金B2美元,2026-08-11,67.87,美元,美國,股票型,-33.09,0.75,0.18,淨值+報酬率
japan,,富達基金-亞洲小型企業基金(A股累計美元),2026-08-11,36.09,美元,亞太不含日本,中小型股,9.7,-5.72,0.17,淨值+報酬率
usa,,駿利亨德森資產管理基金-駿利亨德森平衡基金A6穩月配美元(本基金某些股份類別之配息來源可能為本金),2026-08-11,11.74,美元,美國,平衡型,9.67,5.52,0.39,淨值+報酬率
japan,,富達基金-亞洲非投資等級債券基金(A股累計歐元),2026-08-11,18.85,歐元,亞洲不含日本,非投資等級債券,9.66,5.6,0.46,淨值+報酬率
healthcare,,富達基金-永續發展全球健康護理基金(A股歐元),2026-08-11,62.88,歐元,全球,健康護理股,9.64,2.33,0.19,淨值+報酬率
japan,,富達基金-亞洲非投資等級債券基金(Y股穩定月配息美元)(本基金之配息來源可能為本金),2026-08-11,6.054,美元,亞洲不含日本,非投資等級債券,9.57,2.84,0.77,淨值+報酬率
